CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKADANIENSOL25-NOV-2025,850.0000000,890.0000000,909.0000000,865.7000000,888.8000000,888.8000000,4.5600000,90.0000000,81675.0000000,121.0000000,72582581.2500000
FUTSTKADANIENSOL30-SEP-2025,841.3000000,858.8000000,903.0000000,856.5000000,879.1500000,879.1500000,4.4900000,28171.0000000,8095275.0000000,11993.0000000,7106028041.2500000
FUTSTKADANIENSOL28-OCT-2025,844.7500000,876.5000000,907.0500000,862.0000000,884.0000000,884.0000000,4.6400000,1023.0000000,1015200.0000000,1504.0000000,897951960.0000000
FUTSTKADANIENT25-NOV-2025,2437.0000000,2500.0000000,2610.0000000,2500.0000000,2560.1000000,2560.1000000,5.0500000,278.0000000,175200.0000000,584.0000000,446566500.0000000
FUTSTKADANIENT30-SEP-2025,2412.9000000,2470.0000000,2589.4000000,2470.0000000,2533.1000000,2533.1000000,4.9800000,48432.0000000,12422700.0000000,41409.0000000,31377709350.0000000
FUTSTKADANIENT28-OCT-2025,2424.6000000,2490.0000000,2601.0000000,2488.3000000,2545.3000000,2545.3000000,4.9700000,6369.0000000,2437500.0000000,8125.0000000,6193068420.0000000
FUTSTKADANIGREEN25-NOV-2025,993.4000000,1015.0000000,1084.9500000,1015.0000000,1042.7500000,1042.7500000,4.9600000,415.0000000,439800.0000000,733.0000000,460320900.0000000
FUTSTKADANIGREEN28-OCT-2025,988.2000000,1024.9500000,1080.5500000,1010.0000000,1039.8000000,1039.8000000,5.2200000,2384.0000000,2997000.0000000,4995.0000000,3122074920.0000000
FUTSTKADANIGREEN30-SEP-2025,983.4500000,1017.9500000,1074.9500000,1004.6000000,1035.2500000,1035.2500000,5.2600000,28799.0000000,17218200.0000000,28697.0000000,17832002610.0000000
FUTSTKALKEM30-SEP-2025,5505.5000000,5506.5000000,5580.0000000,5506.5000000,5556.0000000,5556.0000000,0.9100000,12614.0000000,212000.0000000,1696.0000000,1175618812.5000000
FUTSTKALKEM28-OCT-2025,5527.0000000,5564.5000000,5605.5000000,5541.5000000,5582.0000000,5582.0000000,0.9900000,318.0000000,36125.0000000,289.0000000,201235125.0000000
FUTSTKALKEM25-NOV-2025,5542.5000000,5582.0000000,5612.0000000,5582.0000000,5612.0000000,5604.0000000,1.1000000,24.0000000,375.0000000,3.0000000,2098625.0000000
FUTSTKASIANPAINT25-NOV-2025,2507.5000000,2502.0000000,2535.5000000,2502.0000000,2512.7000000,2512.7000000,0.2000000,387.0000000,32250.0000000,129.0000000,81466250.0000000
FUTSTKASIANPAINT28-OCT-2025,2496.9000000,2496.1000000,2526.0000000,2484.2000000,2502.1000000,2502.1000000,0.2000000,3135.0000000,545500.0000000,2182.0000000,1367497475.0000000
FUTSTKASIANPAINT30-SEP-2025,2483.6000000,2483.3000000,2514.0000000,2472.6000000,2490.7000000,2490.7000000,0.2800000,47039.0000000,2062000.0000000,8248.0000000,5147629250.0000000
FUTSTKASTRAL28-OCT-2025,1470.4000000,1470.4000000,1478.3000000,1457.0000000,1462.0000000,1462.0000000,-0.5700000,1717.0000000,187000.0000000,440.0000000,274098097.5000000
FUTSTKASTRAL25-NOV-2025,1476.0000000,1476.0000000,1482.0000000,1463.1000000,1463.3000000,1468.7000000,-0.4900000,144.0000000,22100.0000000,52.0000000,32507357.5000000
FUTSTKASTRAL30-SEP-2025,1463.4000000,1461.8000000,1472.0000000,1449.0000000,1454.3000000,1454.3000000,-0.6200000,17922.0000000,1127100.0000000,2652.0000000,1642505107.5000000
FUTSTKAUROPHARMA30-SEP-2025,1133.6000000,1135.0000000,1140.0000000,1120.2000000,1122.9000000,1122.9000000,-0.9400000,30922.0000000,1864500.0000000,3390.0000000,2103354165.0000000
FUTSTKAUROPHARMA25-NOV-2025,1143.1000000,1147.0000000,1149.1000000,1132.0000000,1133.8000000,1133.8000000,-0.8100000,186.0000000,31900.0000000,58.0000000,36332175.0000000
FUTSTKAUROPHARMA28-OCT-2025,1139.1000000,1144.5000000,1144.5000000,1126.9000000,1128.7000000,1128.7000000,-0.9100000,6077.0000000,433950.0000000,789.0000000,492081425.0000000
FUTSTKAXISBANK30-SEP-2025,1135.0000000,1132.9000000,1145.7000000,1128.9000000,1139.4000000,1139.4000000,0.3800000,153368.0000000,9849375.0000000,15759.0000000,11208957187.5000000
FUTSTKAXISBANK25-NOV-2025,1146.0000000,1143.7000000,1156.3000000,1140.5000000,1150.4000000,1150.4000000,0.3800000,1026.0000000,109375.0000000,175.0000000,125671187.5000000
FUTSTKAXISBANK28-OCT-2025,1140.5000000,1139.3000000,1151.5000000,1134.7000000,1145.0000000,1145.0000000,0.3900000,15608.0000000,2287500.0000000,3660.0000000,2613433125.0000000
FUTSTKBAJAJ-AUTO28-OCT-2025,9085.0000000,9057.5000000,9063.5000000,9002.0000000,9018.0000000,9018.0000000,-0.7300000,3880.0000000,107775.0000000,1437.0000000,973082475.0000000
FUTSTKBAJAJ-AUTO25-NOV-2025,9120.5000000,9081.0000000,9085.0000000,9035.0000000,9044.5000000,9044.5000000,-0.8300000,334.0000000,3600.0000000,48.0000000,32609625.0000000
FUTSTKBAJAJ-AUTO30-SEP-2025,9072.0000000,9035.0000000,9054.0000000,8975.5000000,8989.5000000,8989.5000000,-0.9000000,42430.0000000,449850.0000000,5998.0000000,4050265650.0000000
FUTSTKBAJAJFINSV25-NOV-2025,2095.5000000,2093.0000000,2093.7000000,2084.4000000,2089.4000000,2089.4000000,-0.2900000,124.0000000,9500.0000000,19.0000000,19829600.0000000
FUTSTKBAJAJFINSV28-OCT-2025,2086.1000000,2081.3000000,2088.1000000,2070.0000000,2081.2000000,2081.2000000,-0.2300000,1897.0000000,203000.0000000,406.0000000,422010950.0000000
FUTSTKBAJAJFINSV30-SEP-2025,2076.1000000,2077.1000000,2081.0000000,2059.1000000,2070.5000000,2070.5000000,-0.2600000,33606.0000000,1298500.0000000,2597.0000000,2687013300.0000000
FUTIDXBANKNIFTY30-SEP-2025,55879.6000000,55848.6000000,55857.4000000,55550.0000000,55654.4000000,55654.4000000,-0.4000000,56732.0000000,775320.0000000,22152.0000000,43150114721.0000000
FUTIDXBANKNIFTY25-NOV-2025,56451.8000000,56409.8000000,56409.8000000,56155.0000000,56233.8000000,56233.8000000,-0.3800000,3164.0000000,19040.0000000,544.0000000,1070976802.0000000
FUTIDXBANKNIFTY28-OCT-2025,56178.2000000,56110.2000000,56149.2000000,55860.0000000,55955.0000000,55955.0000000,-0.3900000,8604.0000000,112700.0000000,3220.0000000,6306768755.0000000
FUTSTKBHEL30-SEP-2025,235.6200000,235.6000000,242.3900000,235.0000000,238.0500000,238.0500000,1.0300000,22454.0000000,22183875.0000000,8451.0000000,5311567800.0000000
FUTSTKBHEL25-NOV-2025,237.6000000,238.0000000,244.2600000,238.0000000,240.4900000,240.4900000,1.2100000,245.0000000,433125.0000000,165.0000000,104957081.2500000
FUTSTKBHEL28-OCT-2025,236.6100000,237.0400000,243.5000000,237.0000000,239.0800000,239.0800000,1.0400000,2043.0000000,4570125.0000000,1741.0000000,1100881083.7500000
FUTSTKBOSCHLTD30-SEP-2025,40015.0000000,40055.0000000,40160.0000000,39510.0000000,39850.0000000,39850.0000000,-0.4100000,10489.0000000,37850.0000000,1514.0000000,1506776875.0000000
FUTSTKBOSCHLTD25-NOV-2025,40395.0000000,40260.0000000,40260.0000000,39950.0000000,40200.0000000,40200.0000000,-0.4800000,89.0000000,425.0000000,17.0000000,17048000.0000000
FUTSTKBOSCHLTD28-OCT-2025,40230.0000000,40305.0000000,40310.0000000,39700.0000000,40040.0000000,40040.0000000,-0.4700000,381.0000000,6325.0000000,253.0000000,252811000.0000000
FUTSTKBSE28-OCT-2025,2216.0000000,2219.3000000,2228.0000000,2194.0000000,2198.2000000,2198.2000000,-0.8000000,4994.0000000,505125.0000000,1347.0000000,1113550500.0000000
FUTSTKBSE25-NOV-2025,2223.6000000,2216.0000000,2231.7000000,2200.0000000,2205.4000000,2205.4000000,-0.8100000,746.0000000,59625.0000000,159.0000000,131812275.0000000
FUTSTKBSE30-SEP-2025,2208.7000000,2200.0000000,2220.3000000,2185.0000000,2189.6000000,2189.6000000,-0.8600000,35226.0000000,2067000.0000000,5512.0000000,4543960275.0000000
FUTSTKCAMS28-OCT-2025,4105.2000000,4102.0000000,4175.0000000,4102.0000000,4126.6000000,4126.6000000,0.5200000,927.0000000,79500.0000000,530.0000000,328803705.0000000
FUTSTKCAMS25-NOV-2025,4115.4000000,4118.2000000,4176.0000000,4118.2000000,4137.1000000,4137.1000000,0.5200000,117.0000000,6900.0000000,46.0000000,28611615.0000000
FUTSTKCAMS30-SEP-2025,4085.3000000,4095.0000000,4156.6000000,4079.5000000,4105.8000000,4105.8000000,0.5000000,12112.0000000,403800.0000000,2692.0000000,1662918210.0000000
FUTSTKCANBK25-NOV-2025,116.8600000,117.6500000,120.0100000,117.6500000,119.1000000,119.1000000,1.9100000,387.0000000,2416500.0000000,358.0000000,287927392.5000000
FUTSTKCANBK30-SEP-2025,115.6900000,115.8600000,118.8900000,115.8600000,117.9800000,117.9800000,1.9700000,27825.0000000,76727250.0000000,11367.0000000,9047200770.0000000
FUTSTKCANBK28-OCT-2025,116.2800000,116.8800000,119.5000000,116.8800000,118.6200000,118.6200000,2.0100000,6307.0000000,34607250.0000000,5127.0000000,4104946282.5000000
FUTSTKCOALINDIA30-SEP-2025,394.4000000,394.4000000,396.1500000,392.3500000,395.2000000,395.2000000,0.2000000,48730.0000000,4758750.0000000,3525.0000000,1878694627.5000000
